"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Cinclus cinclus","Cinclus cinclus (Linnaeus, 1758)",8,8,0,2019,2024
"Emberiza leucocephalos",NA,8,0,8,2022,2025
"Eremophila alpestris",NA,8,0,8,2016,2025
"Eumyias thalassinus",NA,8,0,8,2016,2025
"Fringilla montifringilla",NA,8,0,8,2022,2025
"Gypaetus barbatus","Gypaetus barbatus (Linnaeus, 1758)",8,8,0,2019,2023
"Nucifraga multipunctata","Nucifraga multipunctata Gould, 1849",8,8,0,2019,2024
"Oenanthe picata","Oenanthe picata (Blyth, 1847)",8,8,0,2018,2024
"Phylloscopus tytleri","Phylloscopus tytleri W.E.Brooks, 1871",8,8,0,2019,2024
"Psittacula eupatria",NA,8,0,8,2020,2024
"Rallus aquaticus",NA,8,0,8,2020,2025
"Tarsiger chrysaeus","Tarsiger chrysaeus Hodgson, 1845",8,8,0,2022,2025
"Turdus atrogularis",NA,8,0,8,2020,2024
"Ardea cinerea",NA,7,0,7,2022,2025
"Carpodacus rubicilla","Carpodacus rubicilla (Güldenstädt, 1775)",7,7,0,2018,2023
"Cinnyris asiaticus",NA,7,0,7,2021,2024
"Cuculus saturatus","Cuculus saturatus Blyth, 1843",7,7,0,2022,2024
"Curruca curruca",NA,7,0,7,2017,2025
"Elanus caeruleus","Elanus caeruleus (Desfontaines, 1789)",7,7,0,2020,2023
"Emberiza citrinella",NA,7,0,7,2022,2025
"Emberiza fucata","Emberiza fucata Pallas, 1776",7,7,0,2020,2023
"Gallinula chloropus","Gallinula chloropus (Linnaeus, 1758)",7,7,0,2019,2023
"Garrulus glandarius","Garrulus glandarius (Linnaeus, 1758)",7,7,0,2020,2024
"Glaucidium cuculoides","Glaucidium cuculoides (Vigors, 1831)",7,7,0,2021,2024
"Hieraaetus pennatus",NA,7,0,7,2020,2024
"Lanius vittatus","Lanius vittatus Valenciennes, 1826",7,7,0,2021,2024
"Leptopoecile sophiae","Leptopoecile sophiae Severtzov, 1873",7,7,0,2019,2025
"Monticola cinclorhyncha",NA,7,0,7,2021,2024
"Nucifraga multipunctata",NA,7,0,7,2022,2025
"Phoenicurus erythronotus","Phoenicurus erythronotus (Eversmann, 1841)",7,7,0,2020,2025
"Phylloscopus occipitalis",NA,7,0,7,2023,2025
"Psittacula krameri",NA,7,0,7,2018,2024
"Ptyonoprogne rupestris","Ptyonoprogne rupestris (Scopoli, 1769)",7,7,0,2020,2025
"Sitta cashmirensis",NA,7,0,7,2020,2025
"Spatula clypeata","Spatula clypeata (Linnaeus, 1758)",7,7,0,2019,2023
"Tetraogallus himalayensis","Tetraogallus himalayensis G.R.Gray, 1843",7,7,0,2022,2023
"Tichodroma muraria",NA,7,0,7,2018,2024
"Vanellus indicus","Vanellus indicus (Boddaert, 1783)",7,7,0,2020,2024
"Acrocephalus dumetorum","Acrocephalus dumetorum Blyth, 1849",6,6,0,2021,2024
"Acrocephalus stentoreus",NA,6,0,6,2018,2024
"Actitis hypoleucos",NA,6,0,6,2015,2025
"Aegithalos concinnus",NA,6,0,6,2018,2025
"Aegithalos leucogenys","Aegithalos leucogenys (Moore, 1854)",6,6,0,2019,2024
"Aquila nipalensis","Aquila nipalensis Hodgson, 1833",6,6,0,2020,2024
"Aythya ferina","Aythya ferina (Linnaeus, 1758)",6,6,0,2018,2023
"Aythya fuligula","Aythya fuligula (Linnaeus, 1758)",6,6,0,2018,2021
"Buteo refectus",NA,6,0,6,2024,2024
"Buteo rufinus","Buteo rufinus (Cretzschmar, 1829)",6,6,0,2021,2023
"Callacanthis burtoni",NA,6,0,6,2018,2025
