"species","scientificName","priority_score","priority_level","total_records","n_grid_cells","rarity_score","range_score","trend_score"
"Calidris temminckii",NA,76,"High Priority",2,3,100,80,40
"Cecropis daurica","Cecropis daurica (Laxmann, 1769)",76,"High Priority",2,4,100,80,40
"Cecropis daurica",NA,76,"High Priority",2,4,100,80,40
"Chroicocephalus brunnicephalus","Chroicocephalus brunnicephalus (Jerdon, 1840)",76,"High Priority",2,4,100,80,40
"Chroicocephalus brunnicephalus",NA,76,"High Priority",2,4,100,80,40
"Chroicocephalus ridibundus","Chroicocephalus ridibundus (Linnaeus, 1766)",76,"High Priority",2,4,100,80,40
"Chroicocephalus ridibundus",NA,76,"High Priority",2,4,100,80,40
"Circus aeruginosus",NA,76,"High Priority",2,5,100,80,40
"Columba palumbus","Columba palumbus Linnaeus, 1758",76,"High Priority",2,3,100,80,40
"Emberiza buchanani","Emberiza buchanani Blyth, 1845",76,"High Priority",2,3,100,80,40
"Emberiza buchanani",NA,76,"High Priority",2,3,100,80,40
"Linaria flavirostris","Linaria flavirostris (Linnaeus, 1758)",76,"High Priority",2,3,100,80,40
"Merops apiaster","Merops apiaster Linnaeus, 1758",76,"High Priority",2,3,100,80,40
"Merops apiaster",NA,76,"High Priority",2,3,100,80,40
"Monticola rufiventris","Monticola rufiventris (Jardine & Selby, 1833)",76,"High Priority",2,3,100,80,40
"Netta rufina",NA,76,"High Priority",2,5,100,80,40
"Oenanthe oenanthe",NA,76,"High Priority",2,5,100,80,40
"Petronia petronia",NA,76,"High Priority",2,4,100,80,40
"Pseudopodoces humilis","Pseudopodoces humilis (Hume, 1871)",76,"High Priority",2,3,100,80,40
"Spinus spinus","Spinus spinus (Linnaeus, 1758)",76,"High Priority",2,3,100,80,40
"Tadorna ferruginea","Tadorna ferruginea (Pallas, 1764)",76,"High Priority",2,4,100,80,40
"Tadorna ferruginea",NA,76,"High Priority",2,4,100,80,40
"Tarsiger chrysaeus",NA,76,"High Priority",2,1,100,100,20
"Tringa glareola","Tringa glareola Linnaeus, 1758",76,"High Priority",2,3,100,80,40
"Tringa totanus","Tringa totanus (Linnaeus, 1758)",76,"High Priority",2,3,100,80,40
"Turdus maximus","Turdus maximus (Seebohm, 1881)",76,"High Priority",2,3,100,80,40
"Acrocephalus stentoreus","Acrocephalus stentoreus (Hemprich & Ehrenberg, 1833)",76,"High Priority",1,5,100,80,40
"Anser anser","Anser anser (Linnaeus, 1758)",76,"High Priority",1,3,100,80,40
"Aquila heliaca","Aquila heliaca Savigny, 1809",76,"High Priority",1,4,100,80,40
"Bubo bubo",NA,76,"High Priority",1,3,100,80,40
"Bucanetes mongolicus","Bucanetes mongolicus (Swinhoe, 1870)",76,"High Priority",1,5,100,80,40
"Clamator jacobinus",NA,76,"High Priority",1,4,100,80,40
"Columba palumbus",NA,76,"High Priority",1,3,100,80,40
"Ichthyaetus ichthyaetus",NA,76,"High Priority",1,4,100,80,40
"Linaria flavirostris",NA,76,"High Priority",1,3,100,80,40
"Mergus merganser",NA,76,"High Priority",1,3,100,80,40
